num_threads,nrepeat,N,M,Gbytes,time
1,100,4,2,1.12e-07,2.5e-05
1,100,16,8,1.216e-06,7.8e-05
1,100,256,128,0.000265216,0.01317
1,100,1024,512,0.00420659,0.207426
1,100,4096,2048,0.067158,3.29219
1,100,16384,8192,1.07394,54.7292
1,100,32768,16384,4.29536,470.555
2,100,4,2,1.12e-07,0.000543
2,100,16,8,1.216e-06,0.000499
2,100,256,128,0.000265216,0.009731
2,100,1024,512,0.00420659,0.105303
2,100,4096,2048,0.067158,1.65135
2,100,16384,8192,1.07394,27.4848
2,100,32768,16384,4.29536,270.528
4,100,4,2,1.12e-07,0.00517
4,100,16,8,1.216e-06,0.005407
4,100,256,128,0.000265216,0.027688
4,100,1024,512,0.00420659,0.167159
4,100,4096,2048,0.067158,1.26452
4,100,16384,8192,1.07394,17.9735
4,100,32768,16384,4.29536,241.158
8,100,4,2,1.12e-07,0.009801
8,100,16,8,1.216e-06,0.009102
8,100,256,128,0.000265216,0.119393
8,100,1024,512,0.00420659,0.20278
8,100,4096,2048,0.067158,1.39218
8,100,16384,8192,1.07394,19.0797
8,100,32768,16384,4.29536,118.382
