method,num_steps,num_threads,result,runtime
reduction,1000000,1,3.14159,0.003708
reduction,1000000,1,3.14159,0.003712
reduction,1000000,1,3.14159,0.003689
reduction,1000000,1,3.14159,0.003687
reduction,1000000,1,3.14159,0.003679
reduction,1000000,1,3.14159,0.003735
reduction,1000000,1,3.14159,0.003739
reduction,1000000,1,3.14159,0.003716
reduction,10000000,1,3.14159,0.035503
reduction,10000000,1,3.14159,0.035692
reduction,10000000,1,3.14159,0.035472
reduction,10000000,1,3.14159,0.035399
reduction,10000000,1,3.14159,0.035482
reduction,10000000,1,3.14159,0.03538
reduction,10000000,1,3.14159,0.035339
reduction,10000000,1,3.14159,0.035323
reduction,10000000,1,3.14159,0.03537
reduction,10000000,1,3.14159,0.035605
reduction,10000,2,3.14159,0.000293
reduction,10000,2,3.14159,0.00021
reduction,10000,2,3.14159,0.00019
reduction,10000,2,3.14159,0.00022
reduction,10000,2,3.14159,0.00019
reduction,10000,2,3.14159,0.00022
reduction,10000,2,3.14159,0.000216
reduction,10000,2,3.14159,0.000214
reduction,10000,2,3.14159,0.000212
reduction,10000,2,3.14159,0.000192
reduction,100000,2,3.14159,0.000389
reduction,100000,2,3.14159,0.000361
reduction,100000,2,3.14159,0.000367
reduction,100000,2,3.14159,0.000361
reduction,100000,2,3.14159,0.00037
reduction,100000,2,3.14159,0.000383
reduction,100000,2,3.14159,0.000353
reduction,100000,2,3.14159,0.00035
reduction,100000,2,3.14159,0.000349
reduction,100000,2,3.14159,0.000355
reduction,1000000,2,3.14159,0.002001
reduction,1000000,2,3.14159,0.001972
reduction,1000000,2,3.14159,0.002014
reduction,1000000,2,3.14159,0.001959
reduction,1000000,2,3.14159,0.001964
reduction,1000000,2,3.14159,0.002028
reduction,1000000,2,3.14159,0.001962
reduction,1000000,2,3.14159,0.001985
reduction,1000000,2,3.14159,0.001974
reduction,1000000,2,3.14159,0.002009
reduction,10000000,2,3.14159,0.018045
reduction,10000000,2,3.14159,0.018056
reduction,10000000,2,3.14159,0.017995
reduction,10000000,2,3.14159,0.017884
reduction,10000000,2,3.14159,0.017944
reduction,10000000,2,3.14159,0.01793
reduction,10000000,2,3.14159,0.017957
reduction,10000000,2,3.14159,0.018004
reduction,10000000,2,3.14159,0.017893
reduction,10000000,2,3.14159,0.01816
reduction,10000,4,3.14159,0.000253
reduction,10000,4,3.14159,0.00026
reduction,10000,4,3.14159,0.000248
reduction,10000,4,3.14159,0.000219
reduction,10000,4,3.14159,0.00024
reduction,10000,4,3.14159,0.000237
reduction,10000,4,3.14159,0.000322
reduction,10000,4,3.14159,0.000228
reduction,10000,4,3.14159,0.000236
reduction,10000,4,3.14159,0.000232
reduction,100000,4,3.14159,0.000407
reduction,100000,4,3.14159,0.000359
reduction,100000,4,3.14159,0.000344
reduction,100000,4,3.14159,0.00031
reduction,100000,4,3.14159,0.000363
reduction,100000,4,3.14159,0.00033
reduction,100000,4,3.14159,0.000319
reduction,100000,4,3.14159,0.000294
reduction,100000,4,3.14159,0.000389
reduction,100000,4,3.14159,0.000344
reduction,1000000,4,3.14159,0.001117
reduction,1000000,4,3.14159,0.001116
reduction,1000000,4,3.14159,0.001131
reduction,1000000,4,3.14159,0.001131
reduction,1000000,4,3.14159,0.001124
reduction,1000000,4,3.14159,0.001129
reduction,1000000,4,3.14159,0.0013
reduction,1000000,4,3.14159,0.001124
reduction,1000000,4,3.14159,0.001111
reduction,1000000,4,3.14159,0.001108
reduction,10000000,4,3.14159,0.009188
reduction,10000000,4,3.14159,0.009155
reduction,10000000,4,3.14159,0.00919
reduction,10000000,4,3.14159,0.009121
reduction,10000000,4,3.14159,0.009146
reduction,10000000,4,3.14159,0.009166
reduction,10000000,4,3.14159,0.009174
reduction,10000000,4,3.14159,0.009114
reduction,10000000,4,3.14159,0.009103
reduction,10000000,4,3.14159,0.009347
reduction,10000,8,3.14159,0.000331
reduction,10000,8,3.14159,0.000325
reduction,10000,8,3.14159,0.000306
reduction,10000,8,3.14159,0.000332
reduction,10000,8,3.14159,0.000368
reduction,10000,8,3.14159,0.0004
reduction,10000,8,3.14159,0.000348
reduction,10000,8,3.14159,0.00032
reduction,10000,8,3.14159,0.000336
reduction,10000,8,3.14159,0.000386
reduction,100000,8,3.14159,0.000467
reduction,100000,8,3.14159,0.00043
reduction,100000,8,3.14159,0.000437
reduction,100000,8,3.14159,0.000445
reduction,100000,8,3.14159,0.000482
reduction,100000,8,3.14159,0.001888
reduction,100000,8,3.14159,0.001212
reduction,100000,8,3.14159,0.001659
reduction,100000,8,3.14159,0.00276
reduction,100000,8,3.14159,0.002028
reduction,1000000,8,3.14159,0.003538
reduction,1000000,8,3.14159,0.00229
reduction,1000000,8,3.14159,0.003456
reduction,1000000,8,3.14159,0.00188
reduction,1000000,8,3.14159,0.001364
reduction,1000000,8,3.14159,0.00133
reduction,1000000,8,3.14159,0.001182
reduction,1000000,8,3.14159,0.00314
reduction,1000000,8,3.14159,0.001775
reduction,1000000,8,3.14159,0.001656
reduction,10000000,8,3.14159,0.009412
reduction,10000000,8,3.14159,0.00773
reduction,10000000,8,3.14159,0.008484
reduction,10000000,8,3.14159,0.008182
reduction,10000000,8,3.14159,0.008212
reduction,10000000,8,3.14159,0.009276
reduction,10000000,8,3.14159,0.008473
reduction,10000000,8,3.14159,0.008316
reduction,10000000,8,3.14159,0.0083
reduction,10000000,8,3.14159,0.007761
split,10000,1,3.17291,0.000201
split,10000,1,3.17291,0.000189
split,10000,1,3.17291,0.000189
split,10000,1,3.17291,0.000193
split,10000,1,3.17291,0.000183
split,10000,1,3.17291,0.000184
split,10000,1,3.17291,0.000189
split,10000,1,3.17291,0.000195
split,10000,1,3.17291,0.000202
split,10000,1,3.17291,0.000182
split,100000,1,3.14472,0.000511
split,100000,1,3.14472,0.000524
split,100000,1,3.14472,0.000525
split,100000,1,3.14472,0.00052
split,100000,1,3.14472,0.00051
split,100000,1,3.14472,0.00051
split,100000,1,3.14472,0.000523
split,100000,1,3.14472,0.000522
split,100000,1,3.14472,0.000524
split,100000,1,3.14472,0.000526
split,1000000,1,3.14191,0.003807
split,1000000,1,3.14191,0.003697
split,1000000,1,3.14191,0.003752
split,1000000,1,3.14191,0.003706
split,1000000,1,3.14191,0.003668
split,1000000,1,3.14191,0.00371
split,1000000,1,3.14191,0.003659
split,1000000,1,3.14191,0.00375
split,1000000,1,3.14191,0.003738
split,1000000,1,3.14191,0.003779
split,10000000,1,3.14162,0.035445
split,10000000,1,3.14162,0.035522
split,10000000,1,3.14162,0.035831
split,10000000,1,3.14162,0.035519
split,10000000,1,3.14162,0.035665
split,10000000,1,3.14162,0.035632
split,10000000,1,3.14162,0.035707
split,10000000,1,3.14162,0.035628
split,10000000,1,3.14162,0.03592
split,10000000,1,3.14162,0.035723
split,10000,2,3.17291,0.000268
split,10000,2,3.17291,0.00021
split,10000,2,3.17291,0.000224
split,10000,2,3.17291,0.0002
split,10000,2,3.17291,0.000204
split,10000,2,3.17291,0.000199
split,10000,2,3.17291,0.000216
split,10000,2,3.17291,0.000199
split,10000,2,3.17291,0.000201
split,10000,2,3.17291,0.000226
split,100000,2,3.14472,0.000366
split,100000,2,3.14472,0.000372
split,100000,2,3.14472,0.000352
split,100000,2,3.14472,0.000382
split,100000,2,3.14472,0.000403
split,100000,2,3.14472,0.000413
split,100000,2,3.14472,0.000379
split,100000,2,3.14472,0.000358
split,100000,2,3.14472,0.000397
split,100000,2,3.14472,0.000368
split,1000000,2,3.14191,0.001973
split,1000000,2,3.14191,0.002027
split,1000000,2,3.14191,0.00206
split,1000000,2,3.14191,0.001983
split,1000000,2,3.14191,0.001984
split,1000000,2,3.14191,0.00202
split,1000000,2,3.14191,0.002005
split,1000000,2,3.14191,0.002009
split,1000000,2,3.14191,0.002114
split,1000000,2,3.14191,0.002063
split,10000000,2,3.14162,0.018056
split,10000000,2,3.14162,0.018168
split,10000000,2,3.14162,0.017873
split,10000000,2,3.14162,0.018061
split,10000000,2,3.14162,0.018325
split,10000000,2,3.14162,0.018271
split,10000000,2,3.14162,0.018097
split,10000000,2,3.14162,0.018239
split,10000000,2,3.14162,0.018154
split,10000000,2,3.14162,0.01811
split,10000,4,3.17291,0.000276
split,10000,4,3.17291,0.000245
split,10000,4,3.17291,0.000226
split,10000,4,3.17291,0.00024
split,10000,4,3.17291,0.000243
split,10000,4,3.17291,0.00023
split,10000,4,3.17291,0.000229
split,10000,4,3.17291,0.000212
split,10000,4,3.17291,0.000231
split,10000,4,3.17291,0.000222
split,100000,4,3.14472,0.000337
split,100000,4,3.14472,0.000332
split,100000,4,3.14472,0.000331
split,100000,4,3.14472,0.000306
split,100000,4,3.14472,0.000309
split,100000,4,3.14472,0.0003
split,100000,4,3.14472,0.000408
split,100000,4,3.14472,0.000323
split,100000,4,3.14472,0.00032
split,100000,4,3.14472,0.000299
split,1000000,4,3.14191,0.00114
split,1000000,4,3.14191,0.001123
split,1000000,4,3.14191,0.001106
split,1000000,4,3.14191,0.00115
split,1000000,4,3.14191,0.001137
split,1000000,4,3.14191,0.001229
split,1000000,4,3.14191,0.00116
split,1000000,4,3.14191,0.001129
split,1000000,4,3.14191,0.001142
split,1000000,4,3.14191,0.001115
split,10000000,4,3.14162,0.009683
split,10000000,4,3.14162,0.009246
split,10000000,4,3.14162,0.009292
split,10000000,4,3.14162,0.009359
split,10000000,4,3.14162,0.009431
split,10000000,4,3.14162,0.009477
split,10000000,4,3.14162,0.009198
split,10000000,4,3.14162,0.009311
split,10000000,4,3.14162,0.009337
split,10000000,4,3.14162,0.009448
split,10000,8,3.17291,0.000318
split,10000,8,3.17291,0.00036
split,10000,8,3.17291,0.000341
split,10000,8,3.17291,0.000358
split,10000,8,3.17291,0.000444
split,10000,8,3.17291,0.000446
split,10000,8,3.17291,0.000506
split,10000,8,3.17291,0.000341
split,10000,8,3.17291,0.00033
split,10000,8,3.17291,0.000351
split,100000,8,3.14472,0.000446
split,100000,8,3.14472,0.000498
split,100000,8,3.14472,0.000446
split,100000,8,3.14472,0.000439
split,100000,8,3.14472,0.000489
split,100000,8,3.14472,0.000444
split,100000,8,3.14472,0.000431
split,100000,8,3.14472,0.000475
split,100000,8,3.14472,0.000419
split,100000,8,3.14472,0.000409
split,1000000,8,3.14191,0.001061
split,1000000,8,3.14191,0.001188
split,1000000,8,3.14191,0.001021
split,1000000,8,3.14191,0.001231
split,1000000,8,3.14191,0.001165
split,1000000,8,3.14191,0.001081
split,1000000,8,3.14191,0.001049
split,1000000,8,3.14191,0.001165
split,1000000,8,3.14191,0.00116
split,1000000,8,3.14191,0.001137
split,10000000,8,3.14162,0.006851
split,10000000,8,3.14162,0.007718
split,10000000,8,3.14162,0.008294
split,10000000,8,3.14162,0.006811
split,10000000,8,3.14162,0.009269
split,10000000,8,3.14162,0.00775
split,10000000,8,3.14162,0.007029
split,10000000,8,3.14162,0.008722
split,10000000,8,3.14162,0.008116
split,10000000,8,3.14162,0.008243
