num_threads,nrepeat,N,M,Gbytes,time
1,100,4,2,1.12e-07,8e-06
1,100,16,8,1.216e-06,8e-05
1,100,256,128,0.000265216,0.014426
1,100,1024,512,0.00420659,0.186366
1,100,4096,2048,0.067158,2.917
1,100,16384,8192,1.07394,48.5044
1,100,32768,16384,4.29536,446.111
