num_threads,N,M,Gbytes,time
1,4,2,1.12e-07,0.048756
1,4,2,1.12e-07,0.048397
1,4,2,1.12e-07,0.084582
1,4,2,1.12e-07,0.091252
1,4,2,1.12e-07,0.206823
1,4,2,1.12e-07,0.047611
1,4,2,1.12e-07,0.047545
1,4,2,1.12e-07,0.090084
1,4,2,1.12e-07,0.185225
1,4,2,1.12e-07,0.045117
1,16,8,1.216e-06,0.044012
1,16,8,1.216e-06,0.083134
1,16,8,1.216e-06,0.215796
1,16,8,1.216e-06,0.04712
1,16,8,1.216e-06,0.047272
1,16,8,1.216e-06,0.080123
1,16,8,1.216e-06,0.160451
1,16,8,1.216e-06,0.040293
1,16,8,1.216e-06,0.052231
1,16,8,1.216e-06,0.049479
1,256,128,0.000265216,0.059345
1,256,128,0.000265216,0.040408
1,256,128,0.000265216,0.049862
1,256,128,0.000265216,0.050297
1,256,128,0.000265216,0.050653
1,256,128,0.000265216,0.041239
1,256,128,0.000265216,0.04961
1,256,128,0.000265216,0.062424
1,256,128,0.000265216,0.054628
1,256,128,0.000265216,0.040803
1,1024,512,0.00420659,0.062423
1,1024,512,0.00420659,0.067267
1,1024,512,0.00420659,0.053516
1,1024,512,0.00420659,0.041551
1,1024,512,0.00420659,0.079036
1,1024,512,0.00420659,0.070092
1,1024,512,0.00420659,0.050101
1,1024,512,0.00420659,0.041033
1,1024,512,0.00420659,0.083882
1,1024,512,0.00420659,0.066504
1,4096,2048,0.067158,0.174163
1,4096,2048,0.067158,0.047315
1,4096,2048,0.067158,0.052983
1,4096,2048,0.067158,0.057161
1,4096,2048,0.067158,0.046943
1,4096,2048,0.067158,0.049946
1,4096,2048,0.067158,0.083464
1,4096,2048,0.067158,0.046734
1,4096,2048,0.067158,0.050225
1,4096,2048,0.067158,0.090518
1,16384,8192,1.07394,0.170434
1,16384,8192,1.07394,0.138241
1,16384,8192,1.07394,0.188863
1,16384,8192,1.07394,0.203305
1,16384,8192,1.07394,0.138679
1,16384,8192,1.07394,0.188464
1,16384,8192,1.07394,0.185181
1,16384,8192,1.07394,0.13758
1,16384,8192,1.07394,0.192639
1,16384,8192,1.07394,0.23601
1,32768,16384,4.29536,0.452467
1,32768,16384,4.29536,0.521013
1,32768,16384,4.29536,0.50555
1,32768,16384,4.29536,0.425399
1,32768,16384,4.29536,0.454121
1,32768,16384,4.29536,0.428071
1,32768,16384,4.29536,0.526819
1,32768,16384,4.29536,0.503962
1,32768,16384,4.29536,0.465977
1,32768,16384,4.29536,0.477956
