num_threads,N,M,Gbytes,time
1,4,2,1.12e-07,0.112591
1,4,2,1.12e-07,0.091852
1,4,2,1.12e-07,0.087813
1,4,2,1.12e-07,0.035423
1,4,2,1.12e-07,0.070712
1,4,2,1.12e-07,0.091709
1,4,2,1.12e-07,0.091891
1,4,2,1.12e-07,0.091893
1,4,2,1.12e-07,0.091851
1,4,2,1.12e-07,0.092124
1,16,8,1.216e-06,0.091926
1,16,8,1.216e-06,0.091699
1,16,8,1.216e-06,0.091904
1,16,8,1.216e-06,0.091937
1,16,8,1.216e-06,0.091895
1,16,8,1.216e-06,0.091628
1,16,8,1.216e-06,0.091892
1,16,8,1.216e-06,0.091668
1,16,8,1.216e-06,0.079358
1,16,8,1.216e-06,0.041826
1,256,128,0.000265216,0.062174
1,256,128,0.000265216,0.092101
1,256,128,0.000265216,0.091699
1,256,128,0.000265216,0.092256
1,256,128,0.000265216,0.091865
1,256,128,0.000265216,0.092116
1,256,128,0.000265216,0.091936
1,256,128,0.000265216,0.092318
1,256,128,0.000265216,0.092036
1,256,128,0.000265216,0.091797
1,1024,512,0.00420659,0.09246
1,1024,512,0.00420659,0.093044
1,1024,512,0.00420659,0.09229
1,1024,512,0.00420659,0.092516
1,1024,512,0.00420659,0.077081
1,1024,512,0.00420659,0.044454
1,1024,512,0.00420659,0.096401
1,1024,512,0.00420659,0.092706
1,1024,512,0.00420659,0.092783
1,1024,512,0.00420659,0.09293
1,4096,2048,0.067158,0.101372
1,4096,2048,0.067158,0.101035
1,4096,2048,0.067158,0.101318
1,4096,2048,0.067158,0.100742
1,4096,2048,0.067158,0.101355
1,4096,2048,0.067158,0.09886
1,4096,2048,0.067158,0.10113
1,4096,2048,0.067158,0.100858
1,4096,2048,0.067158,0.091446
1,4096,2048,0.067158,0.062515
1,16384,8192,1.07394,0.223241
1,16384,8192,1.07394,0.221915
1,16384,8192,1.07394,0.221421
1,16384,8192,1.07394,0.193585
1,16384,8192,1.07394,0.16137
1,16384,8192,1.07394,0.215124
1,16384,8192,1.07394,0.182331
1,16384,8192,1.07394,0.185562
1,16384,8192,1.07394,0.265565
1,16384,8192,1.07394,0.145891
1,32768,16384,4.29536,0.585492
1,32768,16384,4.29536,0.607792
1,32768,16384,4.29536,0.62606
1,32768,16384,4.29536,0.457746
1,32768,16384,4.29536,0.565361
1,32768,16384,4.29536,0.586242
1,32768,16384,4.29536,0.573712
1,32768,16384,4.29536,0.626322
1,32768,16384,4.29536,0.499239
1,32768,16384,4.29536,0.496868
2,4,2,1.12e-07,0.087664
2,4,2,1.12e-07,0.056003
2,4,2,1.12e-07,0.063069
2,4,2,1.12e-07,0.260766
2,4,2,1.12e-07,0.216264
2,4,2,1.12e-07,0.072117
2,4,2,1.12e-07,0.069722
2,4,2,1.12e-07,0.091344
2,4,2,1.12e-07,0.087871
2,4,2,1.12e-07,0.086656
2,16,8,1.216e-06,0.094134
2,16,8,1.216e-06,0.095412
