num_threads,N,M,Gbytes,time
1,1024,512,0.00420659,0.0673
1,1024,512,0.00420659,0.057766
1,4096,2048,0.067158,0.046471
1,4096,2048,0.067158,0.05084
1,4096,2048,0.067158,0.047443
1,4096,2048,0.067158,0.049297
1,4096,2048,0.067158,0.049721
1,4096,2048,0.067158,0.05019
1,4096,2048,0.067158,0.046881
1,4096,2048,0.067158,0.047531
1,4096,2048,0.067158,0.046719
1,4096,2048,0.067158,0.048663
1,16384,8192,1.07394,0.149904
1,16384,8192,1.07394,0.143201
1,16384,8192,1.07394,0.138089
1,16384,8192,1.07394,0.1393
1,16384,8192,1.07394,0.134802
1,16384,8192,1.07394,0.134804
1,16384,8192,1.07394,0.130656
1,16384,8192,1.07394,0.129107
1,16384,8192,1.07394,0.129822
1,16384,8192,1.07394,0.128016
1,32768,16384,4.29536,0.397352
1,32768,16384,4.29536,0.431361
1,32768,16384,4.29536,0.415396
1,32768,16384,4.29536,0.415617
1,32768,16384,4.29536,0.415628
1,32768,16384,4.29536,0.417687
1,32768,16384,4.29536,0.412952
1,32768,16384,4.29536,0.419819
1,32768,16384,4.29536,0.416865
1,32768,16384,4.29536,0.409302
1,4,2,1.12e-07,0.083605
1,4,2,1.12e-07,0.039631
1,4,2,1.12e-07,0.072059
1,4,2,1.12e-07,0.042985
1,4,2,1.12e-07,0.050782
1,4,2,1.12e-07,0.040814
1,4,2,1.12e-07,0.039797
1,4,2,1.12e-07,0.039734
1,4,2,1.12e-07,0.039346
1,4,2,1.12e-07,0.045491
1,16,8,1.216e-06,0.05086
1,16,8,1.216e-06,0.050113
1,16,8,1.216e-06,0.065573
1,16,8,1.216e-06,0.040137
1,16,8,1.216e-06,0.042379
1,16,8,1.216e-06,0.043115
1,16,8,1.216e-06,0.039572
1,16,8,1.216e-06,0.042439
1,16,8,1.216e-06,0.053075
1,16,8,1.216e-06,0.039996
1,256,128,0.000265216,0.042108
1,256,128,0.000265216,0.053093
1,256,128,0.000265216,0.072131
1,256,128,0.000265216,0.043717
1,256,128,0.000265216,0.053085
1,256,128,0.000265216,0.051195
1,256,128,0.000265216,0.053471
1,256,128,0.000265216,0.043045
1,256,128,0.000265216,0.048065
1,256,128,0.000265216,0.050026
1,1024,512,0.00420659,0.039468
1,1024,512,0.00420659,0.040083
1,1024,512,0.00420659,0.05197
1,1024,512,0.00420659,0.039885
1,1024,512,0.00420659,0.050952
1,1024,512,0.00420659,0.039622
1,1024,512,0.00420659,0.041619
1,1024,512,0.00420659,0.041233
1,1024,512,0.00420659,0.04014
1,1024,512,0.00420659,0.042339
1,4096,2048,0.067158,0.045213
1,4096,2048,0.067158,0.047216
1,4096,2048,0.067158,0.047288
1,4096,2048,0.067158,0.04585
1,4096,2048,0.067158,0.044642
1,4096,2048,0.067158,0.045381
1,4096,2048,0.067158,0.047106
1,4096,2048,0.067158,0.045638
1,4096,2048,0.067158,0.050537
1,4096,2048,0.067158,0.061977
1,16384,8192,1.07394,0.135415
1,16384,8192,1.07394,0.129781
1,16384,8192,1.07394,0.13178
1,16384,8192,1.07394,0.129287
1,16384,8192,1.07394,0.127904
1,16384,8192,1.07394,0.128924
1,16384,8192,1.07394,0.129943
1,16384,8192,1.07394,0.129795
1,16384,8192,1.07394,0.130321
1,16384,8192,1.07394,0.128553
1,32768,16384,4.29536,0.398053
1,32768,16384,4.29536,0.417059
1,32768,16384,4.29536,0.41615
1,32768,16384,4.29536,0.415359
1,32768,16384,4.29536,0.420964
1,32768,16384,4.29536,0.414565
1,32768,16384,4.29536,0.415354
1,32768,16384,4.29536,0.412283
1,32768,16384,4.29536,0.414505
1,32768,16384,4.29536,0.422987
